product,signal,strategy,window,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
USD,SMH,PB_RSI10_R15_H40,MAX,0.14392318053043707,0.5544289200067635,-0.633239510761501,0.2272807967357604,0.3979987747600572,48.5,136395.2706674931
USD,SMH,PB_RSI10_R15_H40,3Y,0.522696916441628,1.0401095200105923,-0.633239510761501,0.8254332011169988,0.49601063829787234,9.0,35070.485516879504
USD,SMH,PB_RSI10_R15_H40,5Y,0.5786978929955107,1.1866393532110708,-0.6332395107615008,0.913868896619541,0.43187250996015936,13.0,97176.36330452554
USD,SMH,PB_RSI10_R15_H40,10Y,0.330650841518388,0.8803065915600804,-0.633239510761501,0.5221576289842755,0.41703143653004376,26.0,172661.25933222432
USD,SMH,PB_RSI10_R15_H40_TS8,MAX,0.14746864656009118,0.5988695923407683,-0.6182118609139311,0.23854062965094439,0.36205840310394116,72.0,144849.1680246512
USD,SMH,PB_RSI10_R15_H40_TS8,3Y,0.4723918187923788,1.074111144464146,-0.33252962821464305,1.4206006885120526,0.4295212765957447,13.5,31725.110904011053
USD,SMH,PB_RSI10_R15_H40_TS8,5Y,0.5055382608772345,1.1919161456219958,-0.3325296282146435,1.5202803539386158,0.38326693227091635,20.5,76724.37398579577
USD,SMH,PB_RSI10_R15_H40_TS8,10Y,0.3556638410466022,1.020580857951786,-0.3325296282146435,1.0695703807091315,0.3820135296458416,36.5,207897.48501074233
USD,SMH,PB_RSI10_R15_H40_TS12,MAX,0.11912726414944963,0.5072493686285277,-0.5951023867376721,0.20017944273841784,0.38513375536042477,61.0,89094.80050885027
USD,SMH,PB_RSI10_R15_H40_TS12,3Y,0.35140696453732345,0.8604703918712815,-0.4543751715405917,0.7733850495084335,0.4654255319148936,12.5,24563.061046103983
USD,SMH,PB_RSI10_R15_H40_TS12,5Y,0.46881085714410187,1.0898536316491356,-0.45437517154059204,1.0317704102417493,0.4127490039840637,17.5,67844.79826760662
USD,SMH,PB_RSI10_R15_H40_TS12,10Y,0.2849973734973841,0.8442001930441297,-0.48074493007539076,0.592824501451717,0.4011142061281337,32.5,121898.2126021357
USD,SMH,PB_RSI10_R15_H40_TS16,MAX,0.13217655266891803,0.5345624652244174,-0.5664988680667581,0.23332183013884136,0.39330202164590566,52.0,111606.37029926768
USD,SMH,PB_RSI10_R15_H40_TS16,3Y,0.39784535213687455,0.9104419267553348,-0.5582633957618232,0.7126481068922005,0.4800531914893617,11.5,27168.677914045384
USD,SMH,PB_RSI10_R15_H40_TS16,5Y,0.4998092559518892,1.1133908814262734,-0.5582633957618229,0.8952929025013981,0.42231075697211157,15.5,75281.3448849517
USD,SMH,PB_RSI10_R15_H40_TS16,10Y,0.3041538129299095,0.8627734763971027,-0.5582633957618234,0.5448213428266273,0.40787902904894546,29.5,141281.26547985
USD,SMH,PB_RSI10_R15_H50,MAX,0.20240932207591822,0.6835510429232955,-0.5553108110378282,0.3644973554497032,0.4696753114151521,44.0,359434.838268652
USD,SMH,PB_RSI10_R15_H50,3Y,0.6250392445121149,1.1216503992194877,-0.5553108110378281,1.1255664973350157,0.5771276595744681,7.5,42583.81000757681
USD,SMH,PB_RSI10_R15_H50,5Y,0.6157407221693234,1.184261798370033,-0.555310811037828,1.108821780398183,0.5123505976095617,11.5,109074.69205376497
USD,SMH,PB_RSI10_R15_H50,10Y,0.432873560666992,1.049330492215978,-0.5553108110378282,0.7795158172015209,0.48905690409868685,23.5,361193.2155405698
