product,signal,strategy,start,end,years,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
SOXL,SMH,PB_RSI5_R15_H40,2012-09-11,2015-09-11,3,0.028226697396608547,0.24260761017619095,-0.5368917822906196,0.05257427721501133,0.2119205298013245,4.0,10869.727485050309
SOXL,SMH,PB_RSI5_R15_H40,2012-12-11,2015-12-11,3,0.017446126276582152,0.20956488088119615,-0.5368917822906196,0.032494679285552115,0.2311756935270806,4.5,10533.290822071132
SOXL,SMH,PB_RSI5_R15_H40,2013-03-11,2016-03-11,3,-0.17050831933120603,-0.4220153905654706,-0.5470405341157694,-0.311692294624591,0.21108179419525067,4.0,5698.909430469701
SOXL,SMH,PB_RSI5_R15_H40,2013-06-11,2016-06-11,3,-0.17071313815972256,-0.4222942376997809,-0.5470405341157694,-0.31206670715116475,0.21136063408190225,4.0,5698.909430469701
SOXL,SMH,PB_RSI5_R15_H40,2013-09-11,2016-09-11,3,-0.0534637732489448,0.005303743391173914,-0.520144177381843,-0.10278644955338317,0.21164021164021163,4.0,8480.309858876748
SOXL,SMH,PB_RSI5_R15_H40,2013-12-11,2016-12-11,3,-0.05119501210385746,0.037469676258840325,-0.520144177381843,-0.09842465672027449,0.2671957671957672,5.5,8541.4357297596
SOXL,SMH,PB_RSI5_R15_H40,2014-03-11,2017-03-11,3,0.03383643026361938,0.2788925924263024,-0.520144177381843,0.06505202160280978,0.31704095112285335,6.0,11051.286647787458
SOXL,SMH,PB_RSI5_R15_H40,2014-06-11,2017-06-11,3,0.11077603207947018,0.4650364742654967,-0.520144177381843,0.21297178147232892,0.3637566137566138,6.5,13705.014532545674
SOXL,SMH,PB_RSI5_R15_H40,2014-09-11,2017-09-11,3,0.11265608352634837,0.46837762537211103,-0.520144177381843,0.21658626285774302,0.37037037037037035,7.0,13774.721926929229
SOXL,SMH,PB_RSI5_R15_H40,2014-12-11,2017-12-11,3,0.14584889985901328,0.5606596738908656,-0.5201441773818432,0.28040090844262994,0.31746031746031744,6.0,15044.648877921165
SOXL,SMH,PB_RSI5_R15_H40,2015-03-11,2018-03-11,3,0.13141029979432117,0.5379480257342655,-0.5201441773818429,0.2526420663897033,0.26455026455026454,5.0,14483.061807523938
SOXL,SMH,PB_RSI5_R15_H40,2015-06-11,2018-06-11,3,0.13141029979432117,0.5379480257342655,-0.5201441773818429,0.2526420663897033,0.26455026455026454,5.0,14483.061807523938
SOXL,SMH,PB_RSI5_R15_H40,2015-09-11,2018-09-11,3,0.09941540953635064,0.4509686942157033,-0.5201441773818429,0.1911304862370281,0.2791005291005291,5.5,13288.790641790052
SOXL,SMH,PB_RSI5_R15_H40,2015-12-11,2018-12-11,3,-0.02897716509764292,0.10301886128643795,-0.48966126339737526,-0.0591779813183365,0.2993377483443709,5.5,9156.70042740084
SOXL,SMH,PB_RSI5_R15_H40,2016-03-11,2019-03-11,3,0.12038920619399818,0.5152120665475631,-0.47785521775391626,0.2519365735083292,0.26525198938992045,5.0,14051.249060004964
SOXL,SMH,PB_RSI5_R15_H40,2016-06-11,2019-06-11,3,0.19848635819388938,0.6791737850091979,-0.4799089772304773,0.413591675945178,0.3183023872679045,6.0,17189.97372643895
SOXL,SMH,PB_RSI5_R15_H40,2016-09-11,2019-09-11,3,0.07957543070033513,0.3992374370143121,-0.4799089772304773,0.1658135906512098,0.26490066225165565,5.0,12578.446886526719
SOXL,SMH,PB_RSI5_R15_H40,2016-12-11,2019-12-11,3,0.1876791754206404,0.669963933712255,-0.47990897723047776,0.3910724414944772,0.2768211920529801,5.0,16741.755684395677
SOXL,SMH,PB_RSI5_R15_H40,2017-03-11,2020-03-11,3,0.15213336204252825,0.5800890941279754,-0.47990897723047754,0.317004618085037,0.26490066225165565,5.0,15284.956220714612
SOXL,SMH,PB_RSI5_R15_H40,2017-06-11,2020-06-11,3,0.07217542212446926,0.37961904754956644,-0.4113168525024371,0.17547402126938527,0.21825396825396826,4.5,12325.30123867173
SOXL,SMH,PB_RSI5_R15_H40,2017-09-11,2020-09-11,3,0.07026762814673293,0.3754843357189025,-0.4010037293161264,0.17522936324449567,0.21136063408190225,4.0,12262.928681251104
SOXL,SMH,PB_RSI5_R15_H40,2017-12-11,2020-12-11,3,0.07026762814673293,0.37548433571890255,-0.4010037293161264,0.17522936324449567,0.21136063408190225,4.0,12262.928681251104
SOXL,SMH,PB_RSI5_R15_H40,2018-03-11,2021-03-11,3,0.19527749980494225,0.6588376184864557,-0.4010037293161264,0.48697177988336765,0.26455026455026454,5.0,17076.789810652455
SOXL,SMH,PB_RSI5_R15_H40,2018-06-11,2021-06-11,3,0.1949958795399247,0.658401562058238,-0.4010037293161264,0.4862694914894472,0.26420079260237783,5.0,17076.789810652455
SOXL,SMH,PB_RSI5_R15_H40,2018-09-11,2021-09-11,3,0.2579041612361834,0.7721985907543828,-0.36978810644300564,0.6974376859141451,0.30423280423280424,5.5,19904.105337313067
SOXL,SMH,PB_RSI5_R15_H40,2018-12-11,2021-12-11,3,0.6339947606591707,1.4087583578641663,-0.30729574425574013,2.0631420138755403,0.31704095112285335,6.0,43711.75180252799
SOXL,SMH,PB_RSI5_R15_H40,2019-03-11,2022-03-11,3,0.6318819332656971,1.4068864641214398,-0.30729574425574013,2.0562664634230248,0.31620553359683795,6.0,43711.75180252799
SOXL,SMH,PB_RSI5_R15_H40,2019-06-11,2022-06-11,3,0.5270722171511435,1.328991521234949,-0.2439215830306105,2.160826486129354,0.2638522427440633,5.0,35730.404315962805
SOXL,SMH,PB_RSI5_R15_H40,2019-09-11,2022-09-11,3,0.5287834651050705,1.3307606228251179,-0.2439215830306105,2.1678420520856974,0.26455026455026454,5.0,35730.404315962805
SOXL,SMH,PB_RSI5_R15_H40,2019-12-11,2022-12-11,3,0.4080303312904989,1.2047704307405511,-0.2439215830306104,1.6727930600519842,0.1984126984126984,3.5,27914.89707960517
SOXL,SMH,PB_RSI5_R15_H40,2020-03-11,2023-03-11,3,0.3115953742790043,1.0497217473378024,-0.24392158303061018,1.2774407676745096,0.15873015873015872,3.0,22563.144721721987
SOXL,SMH,PB_RSI5_R15_H40,2020-06-11,2023-06-11,3,0.5287790053399211,1.3236959791373184,-0.24392158303061018,2.167823768483675,0.19602649006622516,3.5,35669.958428555175
SOXL,SMH,PB_RSI5_R15_H40,2020-09-11,2023-09-11,3,0.5497169745163952,1.325817894369242,-0.24392158303061018,2.253662704572601,0.21220159151193635,4.0,37089.17989675085
SOXL,SMH,PB_RSI5_R15_H40,2020-12-11,2023-12-11,3,0.5497169745163952,1.325817894369242,-0.24392158303061018,2.253662704572601,0.21220159151193635,4.0,37089.17989675085
SOXL,SMH,PB_RSI5_R15_H40,2021-03-11,2024-03-11,3,0.7158469002438099,1.5962737483362706,-0.2185482249023829,3.275464262240296,0.2119205298013245,4.0,50408.65770164755
SOXL,SMH,PB_RSI5_R15_H40,2021-06-11,2024-06-11,3,0.7158469002438099,1.5962737483362706,-0.2185482249023829,3.275464262240296,0.2119205298013245,4.0,50408.65770164755
SOXL,SMH,PB_RSI5_R15_H40,2021-09-11,2024-09-11,3,0.6527082999497997,1.5813087099606313,-0.20438745409664572,3.1934851521814203,0.15915119363395225,3.0,44963.168565389286
SOXL,SMH,PB_RSI5_R15_H40,2021-12-11,2024-12-11,3,0.5054883349005941,1.2765120373102246,-0.2501853592369535,2.0204552993920006,0.15915119363395225,3.0,34011.20713409321
SOXL,SMH,PB_RSI5_R15_H40,2022-03-11,2025-03-11,3,0.5071273151148152,1.2782193906082162,-0.2501853592369535,2.0270063630482427,0.1595744680851064,3.0,34011.20713409321
SOXL,SMH,PB_RSI5_R15_H40,2022-06-11,2025-06-11,3,0.5071273151148152,1.2782193906082162,-0.2501853592369535,2.0270063630482427,0.1595744680851064,3.0,34011.20713409321
SOXL,SMH,PB_RSI5_R15_H40,2022-09-11,2025-09-11,3,0.5063065137905969,1.2773648581781123,-0.2501853592369535,2.023725590237549,0.1593625498007968,3.0,34011.20713409321
SOXL,SMH,PB_RSI5_R15_H40,2022-12-11,2025-12-11,3,0.5063065137905969,1.2773648581781123,-0.2501853592369535,2.023725590237549,0.1593625498007968,3.0,34011.20713409321
SOXL,SMH,PB_RSI5_R15_H40,2023-03-11,2026-03-11,3,0.7425216126355132,1.4750744497680661,-0.2711647690173762,2.7382672731645776,0.2127659574468085,4.0,52445.26632954586
SOXL,SMH,PB_RSI5_R15_H40,2023-06-11,2026-06-11,3,1.5088574974079427,2.0559967905489693,-0.2711647690173762,5.5643566930748865,0.22841965471447542,4.5,156196.86606283748
SOXL,SMH,PB_RSI5_R15_H40,2010-03-11,2015-03-11,5,-0.019680894810034433,0.10413555362195755,-0.5717929816343617,-0.03441961591375314,0.2541699761715647,8.0,9054.648358766679
SOXL,SMH,PB_RSI5_R15_H40,2010-06-11,2015-06-11,5,-0.019680894810034433,0.10413555362195753,-0.5717929816343617,-0.03441961591375314,0.2541699761715647,8.0,9054.648358766679
SOXL,SMH,PB_RSI5_R15_H40,2010-09-11,2015-09-11,5,0.03096630042053805,0.25034971368794584,-0.5717929816343614,0.05415648917555227,0.22239872915011913,7.0,11645.812415110622
SOXL,SMH,PB_RSI5_R15_H40,2010-12-11,2015-12-11,5,-0.032950029596400365,0.026021564813714742,-0.5717929816343617,-0.057625802790056926,0.22239872915011913,7.0,8458.674678558533
SOXL,SMH,PB_RSI5_R15_H40,2011-03-11,2016-03-11,5,-0.1374815997906832,-0.3319979510106775,-0.5811768936294353,-0.23655723635555093,0.22239872915011913,7.0,4776.356461703592
