product,signal,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,trades,score
SOXL,SOXX,PB_RSI5_R10_H40_TS8,0.7338461356658085,0.23929998262898788,1.4251338285723016,0.7602463225776497,2.0717179081233477,-0.5631521165515879,0.24586825796693845,83.0,3.806563308654556
SOXL,SMH,HYB_F40_L5_B50,1.0005487514883333,0.44560781029115626,1.4555333306000864,0.9838801676212253,2.112581467168152,-0.6540281117637262,0.5540815704871727,169.25,3.786888744819123
SOXL,SOXX,PB_RSI3_R5_H40_TS12,0.7516305224901794,0.3011176710033856,1.4093083615482567,0.8516755810901574,1.9556282452661762,-0.601425563356618,0.25642951319769397,68.5,3.728414337588665
SOXL,SMH,HYB_F50_L5_B50,0.9223120594533945,0.4280854304493864,1.3921083205544074,0.9613426890535339,1.878506711026933,-0.6245216333780421,0.5512474379883174,154.75,3.7249934190694174
SOXL,SOXX,PB_RSI5_R15_H40_TS12,0.6089872930190303,0.31167612354101615,1.4284913991516666,0.9768277114846925,1.853300653832736,-0.490664473189795,0.18088079418836123,46.0,3.6818370426260834
SOXL,SMH,PB_RSI7_R15_H40_TS8,0.8108324958841249,0.22943476404049612,1.4404979793378387,0.7070562860443721,2.172394632536803,-0.8142204404654028,0.29357397426456544,96.0,3.654374065405983
SOXL,SMH,HYB_F40_L7_B35,1.0161466060420277,0.3981436876455202,1.454732661417625,0.906276772623027,2.004485310484405,-0.7287832706062158,0.5337232128049574,148.10000000000002,3.634859008880547
SOXL,SOXX,PB_RSI5_R15_H40_TS16,0.6000947541283699,0.317957133409303,1.4117945352359744,0.9834870325758988,1.7875469175827536,-0.546420581736738,0.18173134096843413,44.0,3.604191777667354
SOXL,SOXX,PB_RSI5_R15_H40,0.6000947541283699,0.3139256783971447,1.4117945352359744,0.9739907232579149,1.7875469175827536,-0.546420581736738,0.18185284765130166,43.0,3.599801972831779
SOXL,SMH,PB_RSI7_R10_H30,0.9177444718072089,0.31119716386151985,1.5356111276092483,0.8147873594942252,1.9396671789641942,-0.7467122170119632,0.3060864682218877,86.5,3.584573728377759
SOXL,SMH,PB_RSI3_R10_H20_TS8,0.3612268119378197,0.16438049700420887,1.3904184069854033,0.845000609116899,1.8823815883590638,-0.37384596456785346,0.07963371345497437,35.0,3.5662403961257967
SOXL,SMH,PB_RSI3_R10_H20,0.3612268119378197,0.1562756999958559,1.3904184069854033,0.801636289208065,1.8823815883590638,-0.44134245841590736,0.07963371345497437,35.0,3.5513469176444117
SOXL,SMH,PB_RSI3_R10_H20_TS12,0.3612268119378197,0.1562756999958559,1.3904184069854033,0.801636289208065,1.8823815883590638,-0.44134245841590736,0.07963371345497437,35.0,3.5513469176444117
SOXL,SMH,PB_RSI3_R10_H20_TS16,0.3612268119378197,0.1562756999958559,1.3904184069854033,0.801636289208065,1.8823815883590638,-0.44134245841590736,0.07963371345497437,35.0,3.5513469176444117
SOXL,SMH,PB_RSI7_R5_H30_TS8,0.9664215104580152,0.28626712772181384,1.505905864230908,0.772721847619912,1.9564796375648732,-0.8040361339473979,0.40374863459017096,172.5,3.5486995275616664
SOXL,SMH,PB_RSI7_R10_H30_TS16,0.8846836550228256,0.27981132390098296,1.5241934808722388,0.7796545518461326,1.921786628438468,-0.7467122170119632,0.3045068813446094,94.5,3.5307994092227313
SOXL,SMH,PB_RSI7_R5_H30_TS12,0.9797260889111649,0.3480670191050299,1.4898517366379216,0.8515623044081926,1.9004182323893581,-0.7367863406441864,0.42504934499962743,135.5,3.5271940546818428
